"filename", "language", "TypeScript", "JSON", "JSON with Comments", "Markdown", "MS SQL", "JavaScript", "HTML", "Docker", "Ignore", "PostCSS", "Shell Script", "YAML", "TypeScript JSX", "XML", "comment", "blank", "total"
"d:\github\NODE-JS\work\periodtracker\app\__tests__\src\components\Vr.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 2, 11
"d:\github\NODE-JS\work\periodtracker\app\__tests__\src\components\icons\Circle.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 2, 12
"d:\github\NODE-JS\work\periodtracker\app\__tests__\src\components\icons\CircleOutline.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 2, 12
"d:\github\NODE-JS\work\periodtracker\app\__tests__\src\components\icons\Cloud.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 2, 12
"d:\github\NODE-JS\work\periodtracker\app\__tests__\src\components\icons\CloudOutline.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 2, 12
"d:\github\NODE-JS\work\periodtracker\app\__tests__\src\components\icons\Star.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 2, 12
"d:\github\NODE-JS\work\periodtracker\app\__tests__\src\components\icons\StarOutline.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 2, 12
"d:\github\NODE-JS\work\periodtracker\app\__tests__\src\components\icons\UserIcon.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 2, 12
"d:\github\NODE-JS\work\periodtracker\app\__tests__\src\hooks\useAccessibilityLabel.test.ts", "TypeScript", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 48
"d:\github\NODE-JS\work\periodtracker\app\__tests__\src\hooks\useFormatDate.test.ts", "TypeScript", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 74
"d:\github\NODE-JS\work\periodtracker\app\__tests__\src\hooks\useMonths.test.ts", "TypeScript", 144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 154
"d:\github\NODE-JS\work\periodtracker\app\__tests__\src\hooks\useTranslate.test.ts", "TypeScript", 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 86
"d:\github\NODE-JS\work\periodtracker\app\__tests__\src\mappers\didyouknow.test.ts", "TypeScript", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 49
"d:\github\NODE-JS\work\periodtracker\app\__tests__\src\mappers\encyclopedia.test.ts", "TypeScript", 163, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 172
"d:\github\NODE-JS\work\periodtracker\app\__tests__\src\mappers\quiz.test.ts", "TypeScript", 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 85
"d:\github\NODE-JS\work\periodtracker\app\__tests__\src\mappers\survey.test.ts", "TypeScript", 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 77
"d:\github\NODE-JS\work\periodtracker\app\__tests__\src\screens\AuthScreen\components\AuthCardBody.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 5, 28
"d:\github\NODE-JS\work\periodtracker\app\__tests__\src\screens\AuthScreen\components\AuthHeader.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 5, 29
