Date : 2026-01-16 09:51:03
Directory : d:\github\NODE-JS\work\periodtracker
Total : 606 files,  81852 codes, 1580 comments, 7072 blanks, all 90504 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| app\src\redux\sagas                                                                                                                |          6 |        562 |         91 |         86 |        739 |
| app\src\redux\selectors                                                                                                            |          7 |        273 |         41 |         84 |        398 |
| app\src\redux\types                                                                                                                |          3 |         29 |         22 |         12 |         63 |
| app\src\resources                                                                                                                  |         16 |      6,846 |         19 |      1,031 |      7,896 |
| app\src\resources (Files)                                                                                                          |          3 |        114 |          0 |          2 |        116 |
| app\src\resources\assets                                                                                                           |          2 |         56 |          0 |          2 |         58 |
| app\src\resources\assets (Files)                                                                                                   |          1 |         55 |          0 |          2 |         57 |
| app\src\resources\assets\lottie                                                                                                    |          1 |          1 |          0 |          0 |          1 |
| app\src\resources\translations                                                                                                     |         11 |      6,676 |         19 |      1,027 |      7,722 |
| app\src\resources\translations (Files)                                                                                             |          6 |      5,163 |          4 |         21 |      5,188 |
| app\src\resources\translations\app                                                                                                 |          2 |        457 |         14 |         23 |        494 |
| app\src\resources\translations\content                                                                                             |          3 |      1,056 |          1 |        983 |      2,040 |
| app\src\screens                                                                                                                    |         78 |      8,006 |        138 |      1,122 |      9,266 |
| app\src\screens\AboutScreen                                                                                                        |          1 |         32 |          0 |          6 |         38 |
| app\src\screens\AccessScreen                                                                                                       |          1 |         84 |          0 |         13 |         97 |
| app\src\screens\ArticlesScreen                                                                                                     |          2 |        145 |          2 |         19 |        166 |
| app\src\screens\AuthScreen                                                                                                         |         26 |      1,980 |         26 |        306 |      2,312 |
| app\src\screens\AuthScreen (Files)                                                                                                 |          2 |        124 |          1 |         21 |        146 |
| app\src\screens\AuthScreen\components                                                                                              |         24 |      1,856 |         25 |        285 |      2,166 |
| app\src\screens\AuthScreen\components (Files)                                                                                      |         10 |        679 |          7 |         98 |        784 |
| app\src\screens\AuthScreen\components\Journey                                                                                      |          6 |        538 |          4 |         81 |        623 |
| app\src\screens\AuthScreen\components\Journey (Files)                                                                              |          3 |        208 |          1 |         39 |        248 |
| app\src\screens\AuthScreen\components\Journey\components                                                                           |          3 |        330 |          3 |         42 |        375 |
| app\src\screens\AuthScreen\components\SignUp                                                                                       |          8 |        639 |         14 |        106 |        759 |
| app\src\screens\AuthScreen\components\SignUp (Files)                                                                               |          2 |        349 |         12 |         60 |        421 |
| app\src\screens\AuthScreen\components\SignUp\components                                                                            |          6 |        290 |          2 |         46 |        338 |
| app\src\screens\AvatarAndThemeScreen                                                                                               |          1 |        229 |          2 |         21 |        252 |
| app\src\screens\CalendarScreen                                                                                                     |          1 |        277 |         15 |         39 |        331 |
| app\src\screens\ContactUsScreen                                                                                                    |          1 |        108 |          0 |         14 |        122 |
| app\src\screens\DayScreen                                                                                                          |         11 |        994 |          9 |        138 |      1,141 |
| app\src\screens\DayScreen (Files)                                                                                                  |          1 |         39 |          0 |         11 |         50 |
| app\src\screens\DayScreen\components                                                                                               |         10 |        955 |          9 |        127 |      1,091 |
| app\src\screens\DayScreen\components\DayTracker                                                                                    |          6 |        564 |          6 |         62 |        632 |
| app\src\screens\DayScreen\components\Survey                                                                                        |          4 |        391 |          3 |         65 |        459 |
| app\src\screens\EditProfileScreen                                                                                                  |          3 |        607 |         12 |         88 |        707 |
| app\src\screens\EncyclopediaScreen                                                                                                 |          6 |        646 |          2 |         93 |        741 |
| app\src\screens\EncyclopediaScreen (Files)                                                                                         |          2 |        196 |          0 |         34 |        230 |
| app\src\screens\EncyclopediaScreen\components                                                                                      |          4 |        450 |          2 |         59 |        511 |
| app\src\screens\FindHelpScreen                                                                                                     |          3 |        535 |          9 |         73 |        617 |
| app\src\screens\FindHelpScreen (Files)                                                                                             |          1 |        146 |          5 |         24 |        175 |
| app\src\screens\FindHelpScreen\components                                                                                          |          2 |        389 |          4 |         49 |        442 |
| app\src\screens\InfoScreen                                                                                                         |          1 |         79 |          0 |          7 |         86 |
| app\src\screens\MainScreen                                                                                                         |         14 |      1,630 |         52 |        237 |      1,919 |
| app\src\screens\MainScreen (Files)                                                                                                 |          5 |        951 |         46 |        138 |      1,135 |
| app\src\screens\MainScreen\components                                                                                              |          9 |        679 |          6 |         99 |        784 |
| app\src\screens\PrivacyScreen                                                                                                      |          1 |         18 |          0 |          4 |         22 |
| app\src\screens\ProfileScreen                                                                                                      |          4 |        456 |          8 |         47 |        511 |
| app\src\screens\ProfileScreen (Files)                                                                                              |          1 |         31 |          0 |          5 |         36 |
| app\src\screens\ProfileScreen\components                                                                                           |          3 |        425 |          8 |         42 |        475 |
| app\src\screens\SettingsScreen                                                                                                     |          1 |        168 |          1 |         13 |        182 |
| app\src\screens\TermsScreen                                                                                                        |          1 |         18 |          0 |          4 |         22 |
| app\src\services                                                                                                                   |         10 |        466 |         70 |         73 |        609 |
| app\src\types                                                                                                                      |          2 |         36 |          1 |          9 |         46 |
| bin                                                                                                                                |          8 |         66 |         30 |         40 |        136 |
| bin (Files)                                                                                                                        |          2 |          4 |          0 |          2 |          6 |
| bin\modules                                                                                                                        |          4 |         49 |         25 |         31 |        105 |
| bin\setup                                                                                                                          |          2 |         13 |          5 |          7 |         25 |
| docs                                                                                                                               |         27 |      1,408 |          1 |        777 |      2,186 |
| docs (Files)                                                                                                                       |          6 |        395 |          0 |        233 |        628 |
| docs\changelogs                                                                                                                    |          1 |         12 |          0 |          6 |         18 |
| docs\code                                                                                                                          |          3 |        191 |          0 |         62 |        253 |
| docs\dependencies                                                                                                                  |          3 |        157 |          0 |         98 |        255 |
| docs\deployment                                                                                                                    |         11 |        499 |          1 |        296 |        796 |
| docs\localisation                                                                                                                  |          3 |        154 |          0 |         82 |        236 |
| packages                                                                                                                           |        213 |     50,044 |        683 |      1,759 |     52,486 |
| packages\api                                                                                                                       |         53 |      1,763 |         23 |        383 |      2,169 |
| packages\api (Files)                                                                                                               |          7 |        129 |          5 |         17 |        151 |
| packages\api\__tests__                                                                                                             |          3 |        376 |          1 |         90 |        467 |
| packages\api\__tests__\application                                                                                                 |          2 |        332 |          1 |         74 |        407 |
| packages\api\__tests__\application\oky                                                                                             |          2 |        332 |          1 |         74 |        407 |
| packages\api\__tests__\domain                                                                                                      |          1 |         44 |          0 |         16 |         60 |
| packages\api\__tests__\domain\oky                                                                                                  |          1 |         44 |          0 |         16 |         60 |
| packages\api\src                                                                                                                   |         43 |      1,258 |         17 |        276 |      1,551 |
| packages\api\src (Files)                                                                                                           |          1 |          4 |          0 |          2 |          6 |
| packages\api\src\application                                                                                                       |         12 |        244 |          0 |         48 |        292 |
| packages\api\src\application\oky                                                                                                   |         12 |        244 |          0 |         48 |        292 |
| packages\api\src\application\oky (Files)                                                                                           |          2 |        178 |          0 |         35 |        213 |
| packages\api\src\application\oky\commands                                                                                          |         10 |         66 |          0 |         13 |         79 |
| packages\api\src\domain                                                                                                            |          9 |        425 |          0 |         96 |        521 |
| packages\api\src\domain\oky                                                                                                        |          9 |        425 |          0 |         96 |        521 |
| packages\api\src\infrastructure                                                                                                    |          2 |         52 |          0 |         12 |         64 |
| packages\api\src\infrastructure\db                                                                                                 |          2 |         52 |          0 |         12 |         64 |
| packages\api\src\interfaces                                                                                                        |         17 |        523 |         17 |        115 |        655 |
| packages\api\src\interfaces (Files)                                                                                                |          3 |         72 |          6 |         15 |         93 |
| packages\api\src\interfaces\api                                                                                                    |         14 |        451 |         11 |        100 |        562 |
| packages\api\src\interfaces\api (Files)                                                                                            |          1 |         33 |          0 |          8 |         41 |
| packages\api\src\interfaces\api\controllers                                                                                        |         12 |        373 |          8 |         81 |        462 |
| packages\api\src\interfaces\api\controllers\account                                                                                |          9 |        321 |          8 |         68 |        397 |
| packages\api\src\interfaces\api\controllers\account (Files)                                                                        |          1 |        199 |          8 |         29 |        236 |
| packages\api\src\interfaces\api\controllers\account\requests                                                                       |          8 |        122 |          0 |         39 |        161 |
| packages\api\src\interfaces\api\controllers\analytics                                                                              |          2 |         44 |          0 |         11 |         55 |
| packages\api\src\interfaces\api\controllers\analytics (Files)                                                                      |          1 |         20 |          0 |          6 |         26 |
| packages\api\src\interfaces\api\controllers\analytics\requests                                                                     |          1 |         24 |          0 |          5 |         29 |
| packages\api\src\interfaces\api\controllers\root                                                                                   |          1 |          8 |          0 |          2 |         10 |
| packages\api\src\interfaces\api\middlewares                                                                                        |          1 |         45 |          3 |         11 |         59 |
| packages\api\src\shared                                                                                                            |          2 |         10 |          0 |          3 |         13 |
| packages\api\src\shared\utils                                                                                                      |          2 |         10 |          0 |          3 |         13 |
| packages\cms                                                                                                                       |        127 |     13,287 |        617 |      1,248 |     15,152 |
| packages\cms (Files)                                                                                                               |          8 |        153 |          5 |         18 |        176 |
| packages\cms\@types                                                                                                                |          1 |          6 |          1 |          2 |          9 |
| packages\cms\__tests__                                                                                                             |          1 |         55 |          0 |         13 |         68 |
| packages\cms\__tests__\access                                                                                                      |          1 |         55 |          0 |         13 |         68 |
| packages\cms\src                                                                                                                   |        117 |     13,073 |        611 |      1,215 |     14,899 |
| packages\cms\src (Files)                                                                                                           |          4 |      1,037 |         44 |         28 |      1,109 |
| packages\cms\src\access                                                                                                            |          3 |         83 |          4 |         13 |        100 |
| packages\cms\src\controller                                                                                                        |         24 |      2,375 |        138 |        397 |      2,910 |
| packages\cms\src\entity                                                                                                            |         21 |        420 |          0 |        184 |        604 |
| packages\cms\src\helpers                                                                                                           |          2 |         58 |         82 |         14 |        154 |
| packages\cms\src\public                                                                                                            |         24 |      5,344 |        240 |        451 |      6,035 |
| packages\cms\src\public\scripts                                                                                                    |         21 |      4,579 |        225 |        399 |      5,203 |
| packages\cms\src\public\stylesheets                                                                                                |          3 |        765 |         15 |         52 |        832 |
| packages\cms\src\services                                                                                                          |          1 |        127 |          6 |          5 |        138 |
| packages\cms\src\views                                                                                                             |         38 |      3,629 |         97 |        123 |      3,849 |
| packages\cms\src\views (Files)                                                                                                     |         20 |      1,767 |         43 |         82 |      1,892 |
